H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
5,3,0,2,1.0,0.8,0.2,1.8,5,1,3,1,1.2,1.4,-0.2,1.2,1,1
6,4,0,2,1.5,1.0,0.5,2.0,5,2,1,2,2.0,1.2,0.8,1.4,1,1
6,2,3,1,1.3333333333333333,0.8333333333333334,0.5,1.5,6,3,1,2,1.8333333333333333,1.0,0.8333333333333334,1.6666666666666667,1,1
5,3,1,1,1.2,0.8,0.4,2.0,7,3,1,3,1.5714285714285714,1.2857142857142858,0.2857142857142857,1.4285714285714286,1,1
5,4,1,0,2.0,0.6,1.4,2.6,7,3,3,1,1.5714285714285714,0.7142857142857143,0.8571428571428571,1.7142857142857142,0,1
6,2,1,3,1.1666666666666667,1.6666666666666667,-0.5,1.1666666666666667,5,2,3,0,1.2,0.6,0.6,1.8,1,1
5,3,2,0,1.8,0.8,1.0,2.2,8,3,2,3,1.625,1.375,0.25,1.375,0,0
6,0,5,1,0.5,0.6666666666666666,-0.16666666666666666,0.8333333333333334,5,1,3,1,1.0,1.0,0.0,1.2,0,0
6,2,0,4,1.1666666666666667,1.6666666666666667,-0.5,1.0,6,5,0,1,3.0,1.1666666666666667,1.8333333333333333,2.5,0,0
5,3,1,1,2.0,0.8,1.2,2.0,6,3,2,1,1.5,1.5,0.0,1.8333333333333333,0,1
7,2,4,1,0.8571428571428571,0.7142857142857143,0.14285714285714285,1.4285714285714286,5,1,3,1,2.2,0.8,1.4,1.2,0,1
5,3,1,1,2.0,1.0,1.0,2.0,7,5,0,2,2.857142857142857,1.7142857142857142,1.1428571428571428,2.142857142857143,0,1
7,2,3,2,1.2857142857142858,1.5714285714285714,-0.2857142857142857,1.2857142857142858,5,3,0,2,2.6,2.2,0.4,1.8,0,1
5,2,1,2,1.2,0.8,0.4,1.4,6,2,3,1,2.0,0.6666666666666666,1.3333333333333333,1.5,1,1
7,3,2,2,1.5714285714285714,1.7142857142857142,-0.14285714285714285,1.5714285714285714,5,0,3,2,0.4,1.4,-1.0,0.6,0,1
7,4,1,2,2.142857142857143,1.2857142857142858,0.8571428571428571,1.8571428571428572,6,0,3,3,0.8333333333333334,2.0,-1.1666666666666667,0.5,1,1
9,5,2,2,1.8888888888888888,1.6666666666666667,0.2222222222222222,1.8888888888888888,8,4,1,3,2.0,1.625,0.375,1.625,0,1
8,5,0,3,1.75,0.625,1.125,1.875,10,2,6,2,1.3,0.6,0.7,1.2,0,1
9,3,4,2,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.4444444444444444,5,0,0,5,0.2,4.6,-4.4,0.0,1,1
7,2,3,2,1.7142857142857142,0.7142857142857143,1.0,1.2857142857142858,6,3,1,2,1.1666666666666667,0.6666666666666666,0.5,1.6666666666666667,0,1
7,3,1,3,1.0,1.0,0.0,1.4285714285714286,6,0,0,6,0.3333333333333333,4.166666666666667,-3.8333333333333335,0.0,1,1
8,3,3,2,1.875,0.625,1.25,1.5,10,4,4,2,1.4,0.7,0.7,1.6,0,1
8,4,1,3,1.0,0.875,0.125,1.625,10,4,5,1,1.5,0.4,1.1,1.7,1,1
9,3,4,2,1.7777777777777777,0.6666666666666666,1.1111111111111112,1.4444444444444444,7,0,0,7,0.2857142857142857,3.7142857142857144,-3.4285714285714284,0.0,0,1
7,4,2,1,1.4285714285714286,0.8571428571428571,0.5714285714285714,2.0,5,1,0,4,0.4,1.4,-1.0,0.6,0,1
7,4,3,0,3.142857142857143,0.2857142857142857,2.857142857142857,2.142857142857143,5,3,1,1,3.0,0.2,2.8,2.0,0,0
8,3,0,5,1.625,2.0,-0.375,1.125,5,2,1,2,1.8,1.4,0.4,1.4,0,1
7,1,1,5,1.5714285714285714,3.142857142857143,-1.5714285714285714,0.5714285714285714,5,1,3,1,1.2,1.4,-0.2,1.2,0,0
5,0,3,2,0.2,0.8,-0.6,0.6,7,2,3,2,1.1428571428571428,1.0,0.14285714285714285,1.2857142857142858,1,1
10,5,1,4,1.7,1.2,0.5,1.6,8,4,1,3,3.0,2.125,0.875,1.625,0,1
9,6,0,3,2.3333333333333335,1.4444444444444444,0.8888888888888888,2.0,6,4,1,1,1.8333333333333333,0.8333333333333334,1.0,2.1666666666666665,0,1
5,3,2,0,1.8,0.0,1.8,2.2,6,4,2,0,2.5,1.1666666666666667,1.3333333333333333,2.3333333333333335,0,1
7,5,0,2,2.4285714285714284,1.7142857142857142,0.7142857142857143,2.142857142857143,8,2,3,3,1.125,1.5,-0.375,1.125,0,1
5,3,0,2,1.8,2.0,-0.2,1.8,6,0,3,3,0.3333333333333333,1.1666666666666667,-0.8333333333333334,0.5,1,1
5,1,3,1,0.8,1.0,-0.2,1.2,5,3,2,0,2.6,1.4,1.2,2.2,0,1
